Product,Revenue,Session,Time
CFESXB,12794,5.5,12.29642642
LUXLCY,12783,2.966666667,7.689718026
BESBOD,12711,4.625,7.267545289
FCOMRS,12560,4.787234043,11.27061816
BODHAM,12496,5.9375,10.22041896
ORYAUR,12361,3.763888889,9.189652968
TLSVIE,12315,4.511627907,7.940029395
FDFPTP,12180,3.35483871,11.14075339
FCOTLS,12164,5.438596491,9.467722173
BSLCDG,12008,6.159090909,9.808932265
SOUORY,11711.66,5.838709677,11.56403061
BESMPL,11661,4.724137931,7.785938993
NCEPUF,11538,4.659090909,11.312205
FCOLYS,11483,4.322580645,10.93367726
MXPMRS,11453,4.113333333,8.727872576
ZAGCDG,11369,4.405797101,9.458459934
NCLCDG,11358.18,4.767123288,9.71889314
CDGRNS,11249,6.544117647,8.117274797
MLHLYS,11175,5.175,12.27570314
MPLRNS,10949,4.520833333,7.355720851
BIANTE,10796,3.844444444,7.226428431
DUSLYS,10728,2.839506173,6.635418027
